A1;A2;A3;YA;XA;B4;B5;B6;YB;XB;C7;C8;C9;YC;XC;Y_HN;Y_HN_X
5;4;4;4;4.3;5;5;4;4;4.7;3;4;4;4;3.7;4.00;4.22
5;5;5;5;5.0;4;5;4;5;4.3;4;4;4;4;4.0;4.67;4.44
5;5;4;4;4.7;4;5;5;4;4.7;3;4;4;4;3.7;4.00;4.33
5;5;4;4;4.7;4;5;5;4;4.7;3;4;4;4;3.7;4.00;4.33
5;5;4;4;4.7;4;5;4;4;4.3;3;4;4;4;3.7;4.00;4.22
5;5;4;5;4.7;4;5;4;4;4.3;4;4;4;4;4.0;4.33;4.33
5;4;3;4;4.0;5;5;4;4;4.7;4;4;4;4;4.0;4.00;4.22
3;4;4;4;3.7;3;4;3;3;3.3;3;4;4;4;3.7;3.67;3.56
5;4;4;4;4.3;4;5;4;4;4.3;3;4;4;4;3.7;4.00;4.11
3;4;4;4;3.7;4;3;4;4;3.7;3;4;4;4;3.7;4.00;3.67
4;5;4;4;4.3;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.22
5;4;3;4;4.0;4;5;4;4;4.3;3;4;4;4;3.7;4.00;4.00
3;4;4;4;3.7;4;4;3;4;3.7;3;4;4;4;3.7;4.00;3.67
4;5;4;4;4.3;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.22
4;4;3;4;3.7;4;5;4;4;4.3;3;4;4;4;3.7;4.00;3.89
4;5;3;4;4.0;4;5;4;4;4.3;3;4;4;4;3.7;4.00;4.00
4;4;3;4;3.7;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.00
4;4;3;4;3.7;4;5;4;4;4.3;3;4;4;4;3.7;4.00;3.89
4;5;3;4;4.0;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.11
5;4;4;4;4.3;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.22
3;4;4;4;3.7;3;4;3;3;3.3;3;4;4;4;3.7;3.67;3.56
3;4;3;3;3.3;3;3;3;3;3.0;4;3;4;3;3.7;3.00;3.33
3;4;3;3;3.3;3;3;3;3;3.0;4;3;4;4;3.7;3.33;3.33
4;5;3;4;4.0;4;5;4;4;4.3;3;4;3;4;3.3;4.00;3.89
3;4;4;4;3.7;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.56
3;4;3;3;3.3;4;4;3;4;3.7;4;4;3;4;3.7;3.67;3.56
4;5;3;4;4.0;5;5;4;4;4.7;4;4;4;4;4.0;4.00;4.22
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.67
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.67
4;5;3;4;4.0;4;5;4;4;4.3;4;4;3;4;3.7;4.00;4.00
4;4;3;4;3.7;4;5;4;4;4.3;3;4;2;4;3.0;4.00;3.67
3;3;3;3;3.0;3;3;3;3;3.0;4;4;4;4;4.0;3.33;3.33
4;4;4;4;4.0;4;4;4;4;4.0;4;4;3;4;3.7;4.00;3.89
4;5;3;4;4.0;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.11
4;4;4;4;4.0;3;4;4;3;3.7;4;4;4;4;4.0;3.67;3.89
4;5;4;4;4.3;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.22
4;4;3;4;3.7;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.00
3;4;3;3;3.3;3;4;4;4;3.7;4;4;3;4;3.7;3.67;3.56
5;4;3;4;4.0;4;4;3;4;3.7;3;4;3;4;3.3;4.00;3.67
4;4;3;4;3.7;4;4;4;4;4.0;4;4;2;4;3.3;4.00;3.67
4;5;3;4;4.0;4;4;4;4;4.0;3;4;2;4;3.0;4.00;3.67
5;4;4;4;4.3;4;4;4;4;4.0;3;4;3;4;3.3;4.00;3.89
4;4;3;4;3.7;3;4;4;4;3.7;4;4;3;4;3.7;4.00;3.67
4;3;4;4;3.7;3;3;3;3;3.0;3;4;3;3;3.3;3.33;3.33
4;3;4;4;3.7;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.56
4;4;3;4;3.7;4;4;4;4;4.0;3;4;3;4;3.3;4.00;3.67
4;5;4;4;4.3;4;5;3;4;4.0;4;4;3;4;3.7;4.00;4.00
4;3;4;4;3.7;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.56
5;5;4;4;4.7;4;5;4;4;4.3;4;4;3;4;3.7;4.00;4.22
3;4;4;4;3.7;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.56
3;3;4;3;3.3;3;4;3;3;3.3;3;3;4;3;3.3;3.00;3.33
4;3;4;3;3.7;4;3;4;4;3.7;3;4;4;4;3.7;3.67;3.67
3;4;3;4;3.3;4;4;3;4;3.7;4;3;3;4;3.3;4.00;3.44
4;4;4;4;4.0;3;4;4;4;3.7;4;4;4;4;4.0;4.00;3.89
4;4;3;4;3.7;3;3;4;3;3.3;4;4;4;4;4.0;3.67;3.67
3;3;2;3;2.7;4;4;4;4;4.0;3;4;4;4;3.7;3.67;3.44
3;4;3;4;3.3;4;4;3;4;3.7;3;4;4;4;3.7;4.00;3.56
4;3;4;4;3.7;4;4;4;4;4.0;4;4;4;4;4.0;4.00;3.89
4;4;3;4;3.7;4;4;3;4;3.7;4;4;3;4;3.7;4.00;3.67
3;4;3;3;3.3;3;2;3;3;2.7;4;4;4;4;4.0;3.33;3.33
4;4;3;4;3.7;5;5;4;4;4.7;4;4;4;4;4.0;4.00;4.11
4;4;3;4;3.7;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.00
4;4;3;3;3.7;4;3;3;3;3.3;4;4;3;4;3.7;3.33;3.56
3;4;4;4;3.7;4;3;4;4;3.7;4;4;4;4;4.0;4.00;3.78
2;3;3;3;2.7;4;4;3;4;3.7;3;4;4;4;3.7;3.67;3.33
3;4;4;4;3.7;3;3;4;3;3.3;4;4;4;4;4.0;3.67;3.67
3;4;4;4;3.7;3;4;3;3;3.3;4;4;4;4;4.0;3.67;3.67
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.67
3;4;4;4;3.7;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.56
3;4;4;4;3.7;5;4;4;4;4.3;3;4;3;4;3.3;4.00;3.78
3;4;3;4;3.3;4;4;3;4;3.7;4;4;4;4;4.0;4.00;3.67
4;3;4;4;3.7;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.56
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.67
3;4;4;4;3.7;4;3;3;3;3.3;4;4;4;4;4.0;3.67;3.67
