"year","age","maritl","race","education","region","jobclass","health","health_ins","logwage","wage"
2008,59," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.93601079571521,139.213788138664
2009,57," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.55630250076729,95.2307125669819
2005,25," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.20411998265593,66.9616443217359
2004,49," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.8766796104192,131.194323611687
2004,41," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.50514997831991,90.4819133566401
2009,38," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.74036268949424,114.475713290347
2003,61," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.37106786227174,79.1280844956297
2007,49," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.65006456117768,104.591737924918
2008,52," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.88649072517248,132.487821126123
2007,43," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.95424250943933,141.77517233318
2008,60," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.81291335664286,123.089699847943
2005,46," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.90308998699194,134.705375118879
2004,21," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.02118929906994,55.7673905084923
2009,61," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.67209785793572,106.921814091211
2007,32," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.77815125038364,118.884359339886
2004,58," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.47712125471966,87.9810327856054
2003,35," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.48784512011144,88.9296066367913
2004,26," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.39794000867204,81.2832532842527
2006,32," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.54406804435028,94.0727147457005
2003,37," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.67209785793572,106.921814091211
2007,22," Never Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.07918124604763,59.0970640815891
2005,51," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.17609125905568,65.1108537153447
2004,44," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",4.79239168949825,120.589436530402
2005,35," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.06069784035361,157.700527725737
2004,60," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.86332286012046,129.453644576625
2007,40," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.17609125905568,176.989650489877
2004,35," Never Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.07918124604763,59.0970640815891
2007,35," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",4.54406804435028,94.0727147457005
2008,47," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.90308998699194,134.705375118879
2003,43," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.39794000867204,81.2832532842527
2003,33," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.39794000867204,81.2832532842527
2003,60," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.03342375548695,153.457515308961
2008,38," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.91907809237607,136.876367635184
2005,53," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.31806333496276,75.0431540173515
2004,55," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.86923171973098,130.220832358777
2003,57," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",4.65321251377534,104.921506533664
2005,64," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",3.90308998699194,49.5553381215226
2007,43," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.81954393554187,123.908567597957
2008,35," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.81291335664286,123.089699847943
2008,54," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.35869609957381,78.155161407934
2007,45," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.30102999566398,73.7757432746946
2003,58," Divorced"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.92941892571429,138.299126920883
2007,48," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",4.84509804001426,127.115743812184
2003,46," Married"," Asian"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.23044892137827,68.7480877337669
2004,46," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.43546212055982,84.39111474778
2009,55," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.44715803134222,85.3839403789827
2006,51," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.85733249643127,128.680488220624
2005,49," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.25527250510331,70.4760196469445
2008,34," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.34242268082221,76.8936025176112
2007,53," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",5,148.413159102577
2004,40," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5,148.413159102577
2009,50," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.17026171539496,175.960883130401
2006,37," Divorced"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.5910646070265,98.5993438603892
2003,39," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.97772360528885,145.143601176911
2004,52," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.60205999132796,99.6894636984864
2003,50," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.94939000664491,141.08887439127
2006,48," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.81291335664286,123.089699847943
2006,47," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.86332286012046,129.453644576625
2005,27," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.7160033436348,111.720849360989
2006,39," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.64345267648619,103.90247060316
2009,44," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.77815125038364,118.884359339886
2003,37," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.02118929906994,151.591484239814
2006,52," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.6232492903979,101.82435207568
2004,26," Never Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.60205999132796,99.6894636984864
2008,39," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.60205999132796,99.6894636984864
2006,25," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.60205999132796,99.6894636984864
2005,31," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.54406804435028,94.0727147457005
2004,58," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",5.02530586526477,152.216806827106
2005,30," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.65321251377534,104.921506533664
2004,27," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.17609125905568,65.1108537153447
2003,40," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.55630250076729,95.2307125669819
2006,55," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.15836249209525,173.879493310012
2009,35," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.26481782300954,193.411070530969
2008,48," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.74036268949424,114.475713290347
2006,29," Never Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",5.07918124604763,160.642475408263
2005,25," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.49415459401844,89.4924795180001
2004,40," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.79239168949825,120.589436530402
2006,27," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," No",4.30102999566398,73.7757432746946
2006,44," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.84509804001426,127.115743812184
2006,49," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.77815125038364,118.884359339886
2003,22," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",3.54406804435028,34.6074177301288
2007,45," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.74036268949424,114.475713290347
2007,33," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.44715803134222,85.3839403789827
2007,63," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.76312762749814,318.342430056529
2006,49," Never Married"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.95424250943933,141.77517233318
2005,39," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.8750612633917,130.982177377461
2007,25," Never Married"," Other"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.30102999566398,73.7757432746946
2005,29," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.8750612633917,130.982177377461
2006,37," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.31806333496276,75.0431540173515
2008,35," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",5.04336227802113,154.990260276812
2009,46," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.65321251377534,104.921506533664
2008,58," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.29207877211666,73.118306923864
2003,39," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.81291335664286,123.089699847943
2008,41," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.06069784035361,157.700527725737
2008,29," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.39794000867204,81.2832532842527
2009,37," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.67521907955274,107.256062128429
2009,62," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",4.36921585741014,78.9816745162994
2008,27," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.30102999566398,73.7757432746946
2003,37," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.54406804435028,94.0727147457005
2006,56," Separated"," Asian"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",4.60205999132796,99.6894636984864
2004,36," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.17609125905568,176.989650489877
2005,23," Never Married"," Other"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.30102999566398,73.7757432746946
2003,46," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.60205999132796,99.6894636984864
2009,26," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.54406804435028,94.0727147457005
2006,43," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.55630250076729,95.2307125669819
