Chay_5;Bat_Xa;Luc_Bop;Chay_30m;Con_Thoi;Gap_Bung;Nhom;Gioi_Tinh
1079;225;48.2;4.68;11.71;23;G3;Nam
1115;228;48.1;4.71;11.73;25;G3;Nam
1112;227;47.9;4.15;11.72;24;G3;Nam
1114;230;47.6;4.21;11.69;23;G3;Nam
1115;229;48;4.22;11.77;22;G3;Nam
1079;225;48.2;4.68;11.71;23;G3;Nam
1115;228;48.1;4.71;11.73;23;G3;Nam
1106;227;47.9;4.15;11.72;24;G3;Nam
1114;230;47.6;4.21;11.69;25;G3;Nam
1115;229;48;4.22;11.77;22;G3;Nam
1119;227;48.1;4.11;11.78;22;G3;Nam
1120;231;47.6;4.15;11.73;23;G3;Nam
1121;223;48;4.21;11.72;23;G3;Nam
1087;224;48.1;4.22;11.69;24;G3;Nam
1098;225;47.9;4.11;11.77;23;G3;Nam
1069;228;48.2;4.15;11.79;23;G3;Nam
1115;227;48.1;4.23;11.76;23;G3;Nam
1119;230;47.6;4.21;11.71;24;G3;Nam
1111;224;48;4.45;11.71;23;G3;Nam
1112;225;48.1;4.56;11.73;23;G3;Nam
1115;228;47.9;4.67;11.78;24;G3;Nam
1088;227;48.2;4.77;11.79;25;G3;Nam
1089;230;48.1;4.68;11.76;22;G3;Nam
1087;225;47.9;4.71;11.71;22;G3;Nam
1092;231;47.6;4.15;11.73;23;G3;Nam
1067;223;48;4.21;11.72;23;G3;Nam
1093;224;48.1;4.22;11.69;24;G3;Nam
1098;225;48.1;4.45;11.71;22;G3;Nam
1088;228;47.5;4.56;11.73;22;G3;Nam
1111;224;48;4.45;11.71;23;G3;Nam
1112;225;48.1;4.56;11.73;23;G3;Nam
1115;228;47.9;4.67;11.78;24;G3;Nam
1088;227;48.2;4.77;11.79;25;G3;Nam
1089;230;48.1;4.68;11.76;22;G3;Nam
1079;229;48;4.22;11.73;23;G3;Nam
1078;227;48.1;4.11;11.72;25;G3;Nam
1115;223;47.9;4.15;11.69;24;G3;Nam
1119;224;48.2;4.23;11.77;25;G3;Nam
1058;225;48.1;4.45;11.78;23;G3;Nam
933;189;32.8;5.96;12.77;13;G3;Nam
929;187;35.8;6.03;12.87;12;G3;Nam
936;197;33.6;5.91;12.76;15;G3;Nam
939;202;33.2;5.98;12.78;13;G3;Nam
925;204;33.8;6.01;12.79;12;G3;Nam
932;200;33.6;5.88;12.85;15;G3;Nam
934;201;35.7;5.87;12.6;14;G3;Nam
928;198;35.7;5.92;12.97;15;G3;Nam
1049;211;40.7;5.68;13.07;16;G3;Nam
1038;209;40.9;5.46;12.32;19;G3;Nam
1039;207;40.7;5.55;12.43;17;G3;Nam
1049;206;40.8;5.56;12.32;16;G3;Nam
1049;211;40.8;5.76;12.21;16;G3;Nam
1048;209;40.9;5.59;12.45;17;G3;Nam
1046;209;40.7;5.46;13.06;17;G3;Nam
1048;208;40.7;5.62;13.05;16;G3;Nam
1043;207;40.8;5.43;13.09;17;G3;Nam
1046;208;40.9;5.36;13.04;18;G3;Nam
1044;207;40.7;5.79;13.06;16;G3;Nam
1049;211;40.7;5.68;13.07;16;G3;Nam
1047;213;40.9;5.59;13.05;17;G3;Nam
1045;214;40.7;5.48;13.04;17;G3;Nam
1043;218;40.7;5.47;13.06;16;G3;Nam
1048;205;41;5.57;13.05;17;G3;Nam
1049;207;33.6;5.65;12.38;16;G3;Nam
1043;208;35.7;5.55;12.45;16;G3;Nam
1047;208;35.7;5.45;12.34;17;G3;Nam
1045;210;40.8;5.46;12.23;19;G3;Nam
1048;216;40.9;5.55;12.21;18;G3;Nam
1048;218;40.7;5.56;12.11;16;G3;Nam
1049;221;40.7;5.76;12.33;16;G3;Nam
1047;221;40.7;5.75;12.35;17;G3;Nam
1048;209;40.8;5.77;12.32;17;G3;Nam
1049;209;40.9;5.67;12.21;16;G3;Nam
1047;208;40.7;5.68;12.43;17;G3;Nam
1044;209;40.7;5.66;12.32;19;G3;Nam
1048;215;40.8;5.63;12.21;18;G3;Nam
1043;216;40.7;5.63;13.04;18;G3;Nam
1042;214;40.7;5.76;13.06;16;G3;Nam
1044;219;40.7;5.75;13.07;19;G3;Nam
1048;215;40.8;5.77;13.05;18;G3;Nam
1043;216;40.7;5.67;13.04;16;G3;Nam
1042;214;40.7;5.68;12.26;19;G3;Nam
1044;219;40.7;5.66;12.38;19;G3;Nam
1049;216;40.8;5.65;12.39;16;G3;Nam
1047;217;40.9;5.55;13.07;19;G3;Nam
1048;214;40.7;5.89;13.05;18;G3;Nam
1048;211;40.7;5.87;13.04;18;G3;Nam
1038;209;40.9;5.88;13.09;19;G3;Nam
1039;207;40.7;5.98;13.09;17;G3;Nam
1049;206;40.8;5.97;13.08;16;G3;Nam
1049;211;40.8;5.79;13.06;16;G3;Nam
1044;207;35.8;5.68;13.05;16;G3;Nam
1047;206;35.7;5.66;13.09;17;G3;Nam
1048;208;35.7;4.88;13.04;17;G3;Nam
1043;207;36.7;5.57;13.06;16;G3;Nam
1044;208;35.8;5.65;13.07;17;G3;Nam
1057;209;36.7;5.55;13.05;18;G3;Nam
1049;207;35.8;5.45;13.04;18;G3;Nam
1043;208;35.7;5.46;13.06;17;G3;Nam
1043;208;35.7;5.55;13.07;16;G3;Nam
1048;207;40.9;5.56;13.05;16;G3;Nam
1045;206;40.7;5.76;13.04;17;G3;Nam
1045;207;36.7;5.75;13.09;17;G3;Nam
1047;208;35.8;5.77;13.09;16;G3;Nam
1047;207;36.7;5.67;13.08;17;G3;Nam
1100;207;35.8;5.89;13.06;16;G3;Nam
1057;208;41;5.87;13.05;17;G3;Nam
1098;207;40.8;5.88;13.09;18;G3;Nam
1056;209;41;5.98;13.04;18;G3;Nam
1100;206;36.7;5.97;12.32;16;G3;Nam
1048;208;35.8;5.79;12.21;18;G3;Nam
1049;206;35.7;5.68;12.45;16;G3;Nam
1045;208;35.7;5.66;12.26;17;G3;Nam
1049;206;40.8;5.75;13.06;16;G3;Nam
1048;207;40.8;5.77;13.05;17;G3;Nam
1045;208;36.7;5.67;13.04;16;G3;Nam
1048;206;35.8;5.68;12.32;16;G3;Nam
1049;207;35.7;5.75;12.21;17;G3;Nam
1044;208;35.7;5.77;12.45;17;G3;Nam
1049;206;33.6;5.67;12.26;16;G3;Nam
1049;208;35.7;5.68;12.38;17;G3;Nam
1048;207;40.9;5.66;12.45;16;G3;Nam
933;182;35.8;5.79;11.89;19;G1;Nu
931;183;32.5;5.72;11.97;20;G1;Nu
933;175;36.1;5.69;11.94;19;G1;Nu
936;171;35.5;5.73;11.98;19;G1;Nu
933;177;32.1;5.79;11.89;19;G1;Nu
936;173;32.5;5.72;11.97;20;G1;Nu
932;171;33.6;5.69;11.94;19;G1;Nu
931;174;32.3;5.67;12.05;20;G1;Nu
934;173;32.3;5.76;11.85;20;G1;Nu
936;172;34.1;5.73;11.92;19;G1;Nu
933;171;35.6;5.79;11.89;19;G1;Nu
931;182;32.5;5.72;11.97;20;G1;Nu
933;176;34.5;5.69;11.94;19;G1;Nu
937;179;32.2;5.67;12.05;20;G1;Nu
933;173;32.1;5.76;11.85;19;G1;Nu
936;176;34.7;5.68;11.92;20;G1;Nu
931;178;31.9;5.77;12.01;19;G1;Nu
932;171;35.8;5.71;12.03;19;G1;Nu
931;174;32.1;5.73;11.98;19;G1;Nu
933;177;35.7;5.79;11.89;19;G1;Nu
936;175;32.5;5.72;11.97;20;G1;Nu
932;178;34.9;5.69;11.94;19;G1;Nu
931;174;32.3;5.67;12.05;20;G1;Nu
934;173;32.3;5.76;11.85;20;G1;Nu
936;172;32.2;5.73;11.92;19;G1;Nu
933;171;35;5.79;11.89;19;G1;Nu
931;176;35.2;5.72;11.97;20;G1;Nu
933;177;35.8;5.69;11.94;19;G1;Nu
937;174;35.9;5.67;12.05;20;G1;Nu
931;170;32.5;5.72;11.97;20;G1;Nu
933;173;32.3;5.69;11.94;19;G1;Nu
937;170;32.2;5.67;12.05;20;G1;Nu
933;173;35.6;5.76;11.85;19;G1;Nu
936;176;35.7;5.68;11.92;20;G1;Nu
931;170;35.8;5.77;12.01;19;G1;Nu
932;171;35.6;5.71;12.03;19;G1;Nu
931;172;35.2;5.73;11.98;19;G1;Nu
933;175;32.1;5.79;11.89;19;G1;Nu
859;152;23.5;6.71;12.34;16;G1;Nu
864;152;23.7;6.77;12.45;16;G1;Nu
869;151;23.9;6.75;12.27;15;G1;Nu
862;153;23.7;6.73;12.69;15;G1;Nu
843;151;21.6;6.72;12.89;16;G1;Nu
951;154;24.6;6.73;12.69;15;G1;Nu
852;156;24.1;6.73;12.86;15;G1;Nu
859;152;23.5;6.71;12.89;16;G1;Nu
864;152;23.7;6.77;12.69;16;G1;Nu
869;151;23.9;6.75;12.86;15;G1;Nu
862;153;23.7;6.73;13.02;15;G1;Nu
859;152;24.1;6.72;12.67;17;G1;Nu
864;153;22.5;6.73;12.89;16;G1;Nu
866;152;22.3;6.73;13.02;15;G1;Nu
877;153;21.1;6.71;12.67;15;G1;Nu
879;152;21.4;6.73;12.89;16;G1;Nu
865;152;21.7;6.72;12.69;16;G1;Nu
858;152;21.6;5.46;12.86;15;G1;Nu
901;151;21.1;5.45;13.02;15;G1;Nu
903;153;21.4;5.47;13.03;16;G1;Nu
945;176;32.3;5.69;11.97;20;G2;Nu
941;177;32.2;5.67;11.94;19;G2;Nu
933;173;31.7;5.68;11.85;20;G2;Nu
936;168;32.3;5.77;11.92;20;G2;Nu
941;170;32.3;5.71;12.01;19;G2;Nu
942;171;32.2;5.73;12.03;19;G2;Nu
945;174;32.1;5.79;11.98;19;G2;Nu
941;173;32.5;5.72;11.89;20;G2;Nu
945;176;32.3;5.69;11.97;20;G2;Nu
941;177;32.2;5.67;11.94;19;G2;Nu
933;173;31.7;5.68;11.85;21;G2;Nu
936;168;32.3;5.77;11.92;20;G2;Nu
941;170;32.3;5.71;12.01;19;G2;Nu
941;173;32.5;5.72;11.89;20;G2;Nu
945;176;32.3;5.69;11.97;20;G2;Nu
941;177;32.2;5.67;11.94;21;G2;Nu
837;133;25.3;7.21;13.34;12;G2;Nu
839;149;26;6.99;13.26;13;G2;Nu
862;154;23.7;6.77;12.69;15;G2;Nu
867;159;28.5;6.75;12.94;15;G2;Nu
869;155;27.8;6.73;12.67;16;G2;Nu
862;154;28.9;6.72;13.03;17;G2;Nu
859;154;26.5;6.73;13.06;16;G2;Nu
864;153;27.3;6.73;13.02;15;G2;Nu
857;160;28.1;6.71;12.89;15;G2;Nu
859;161;26.3;6.73;12.69;16;G2;Nu
853;161;24.6;6.72;12.86;15;G2;Nu
859;159;24.1;6.72;12.86;15;G2;Nu
851;152;22.5;6.77;12.94;17;G2;Nu
851;151;22.3;6.75;12.67;16;G2;Nu
852;153;21.1;6.73;13.03;15;G2;Nu
852;154;21.4;6.72;13.06;15;G2;Nu
851;155;21.7;6.73;13.02;16;G2;Nu
853;166;21.6;6.73;12.89;16;G2;Nu
854;153;24.6;6.71;12.69;15;G2;Nu
853;153;24.1;6.77;12.86;15;G2;Nu
859;157;23.5;6.02;13.06;16;G2;Nu
864;159;23.7;5.89;13.02;16;G2;Nu
869;155;23.9;6.01;12.89;15;G2;Nu
862;154;23.7;5.97;12.69;15;G2;Nu
859;154;24.1;5.81;12.86;17;G2;Nu
864;153;22.5;5.85;12.86;16;G2;Nu
933;173;32.1;5.76;11.85;21;G3;Nu
936;176;31.8;5.68;11.92;20;G3;Nu
941;177;31.9;5.77;12.01;20;G3;Nu
931;181;32;5.71;12.03;19;G3;Nu
932;169;32.1;5.73;11.98;19;G3;Nu
935;170;31.7;5.79;11.89;21;G3;Nu
938;172;32.3;5.72;11.97;21;G3;Nu
940;182;32.3;5.69;11.94;20;G3;Nu
939;169;32.3;5.69;11.94;20;G3;Nu
933;170;32.2;5.67;12.05;20;G3;Nu
933;173;32.1;5.76;11.85;21;G3;Nu
936;176;31.8;5.68;11.92;20;G3;Nu
932;177;31.9;5.77;12.01;20;G3;Nu
936;181;32;5.71;12.03;19;G3;Nu
935;169;32.1;5.73;11.98;19;G3;Nu
941;170;31.7;5.79;11.89;21;G3;Nu
938;172;32.3;5.72;11.97;21;G3;Nu
931;182;32.3;5.69;11.94;20;G3;Nu
939;168;32.2;5.67;12.05;19;G3;Nu
936;170;32.1;5.69;11.85;19;G3;Nu
937;171;32.5;5.67;11.94;21;G3;Nu
936;174;32.3;5.76;12.05;21;G3;Nu
933;173;31.7;5.68;11.85;21;G3;Nu
936;168;32.3;5.77;11.92;20;G3;Nu
941;170;32.3;5.71;12.01;19;G3;Nu
942;171;32.2;5.73;12.03;19;G3;Nu
931;174;32.1;5.79;11.98;20;G3;Nu
941;173;32.5;5.72;11.89;20;G3;Nu
933;176;32.3;5.69;11.97;20;G3;Nu
941;177;32.2;5.67;11.94;21;G3;Nu
938;181;32.1;5.76;12.05;20;G3;Nu
940;169;31.8;5.73;11.85;20;G3;Nu
939;170;31.9;5.79;11.92;19;G3;Nu
931;173;32;5.72;11.89;19;G3;Nu
933;176;32.1;5.69;11.97;21;G3;Nu
936;177;31.7;5.67;11.94;21;G3;Nu
938;177;32.1;5.79;11.89;19;G3;Nu
940;181;32.5;5.72;11.97;20;G3;Nu
939;169;32.3;5.69;11.94;20;G3;Nu
934;170;32.2;5.67;12.05;20;G3;Nu
933;173;32.1;5.76;11.85;21;G3;Nu
936;176;31.8;5.68;11.92;20;G3;Nu
936;174;32.3;5.76;12.05;21;G3;Nu
933;173;31.7;5.68;11.85;21;G3;Nu
936;168;32.3;5.77;11.92;20;G3;Nu
941;170;32.3;5.71;12.01;19;G3;Nu
942;171;32.2;5.73;12.03;19;G3;Nu
941;174;32.1;5.79;11.98;20;G3;Nu
941;173;32.5;5.72;11.89;20;G3;Nu
934;176;32.3;5.69;11.97;20;G3;Nu
941;177;32.2;5.67;11.94;21;G3;Nu
938;181;32.1;5.76;12.05;20;G3;Nu
933;169;31.8;5.73;11.85;20;G3;Nu
939;170;31.9;5.79;11.92;19;G3;Nu
931;173;32;5.72;11.89;19;G3;Nu
933;176;32.1;5.69;11.97;21;G3;Nu
839;146;25.9;7.11;13.56;13;G3;Nu
846;148;25.5;7.21;13.34;13;G3;Nu
841;150;25.1;6.99;13.26;14;G3;Nu
844;148;25.3;7.23;13.29;12;G3;Nu
841;144;25.2;7.16;13.73;13;G3;Nu
828;142;25.5;7.19;13.61;14;G3;Nu
829;141;26.1;6.88;13.52;14;G3;Nu
831;142;25.8;6.89;13.21;14;G3;Nu
832;139;25.6;6.85;13.22;13;G3;Nu
843;139;25.9;7.01;13.57;13;G3;Nu
903;154;28.9;6.73;13.06;15;G3;Nu
905;155;26.5;6.72;13.02;16;G3;Nu
907;166;27.3;6.72;12.89;16;G3;Nu
905;153;28.1;6.77;12.69;15;G3;Nu
862;153;26.3;6.75;12.86;15;G3;Nu
859;157;24.6;6.73;13.06;16;G3;Nu
864;159;24.1;6.72;13.02;16;G3;Nu
869;155;23.9;6.73;12.89;15;G3;Nu
862;154;23.7;6.73;12.69;15;G3;Nu
859;154;24.1;6.72;12.86;17;G3;Nu
864;153;28.5;6.73;12.86;16;G3;Nu
866;160;27.8;6.73;12.94;15;G3;Nu
877;161;28.9;6.71;12.67;15;G3;Nu
879;161;26.5;6.73;13.03;16;G3;Nu
865;159;27.3;6.72;12.86;16;G3;Nu
858;152;28.1;6.72;12.94;15;G3;Nu
901;151;26.3;6.77;12.67;15;G3;Nu
903;153;24.6;6.75;13.03;16;G3;Nu
903;154;24.1;6.73;13.06;16;G3;Nu
905;155;21.6;6.72;13.02;15;G3;Nu
907;154;24.6;6.77;12.89;15;G3;Nu
858;153;24.1;6.75;12.69;16;G3;Nu
901;160;28.5;6.73;12.86;16;G3;Nu
903;161;27.8;6.72;12.86;15;G3;Nu
903;161;28.9;6.73;12.94;15;G3;Nu
905;159;26.5;6.77;12.67;16;G3;Nu
907;152;27.3;6.75;13.03;16;G3;Nu
905;151;28.1;6.73;13.06;15;G3;Nu
862;153;26.3;6.72;13.02;15;G3;Nu
859;154;28.5;6.73;12.89;17;G3;Nu
864;155;27.8;6.73;12.69;16;G3;Nu
869;165;28.9;6.72;12.86;15;G3;Nu
862;153;26.5;6.77;13.06;15;G3;Nu
859;153;27.3;6.75;13.02;16;G3;Nu
864;157;28.1;6.73;12.89;16;G3;Nu
866;159;26.3;6.72;12.69;15;G3;Nu
877;155;24.6;6.73;12.86;15;G3;Nu
879;154;24.1;6.73;13.06;16;G3;Nu
865;154;25.5;6.72;13.02;16;G3;Nu
858;160;24.4;6.73;12.89;15;G3;Nu
901;161;24.6;6.73;12.69;15;G3;Nu
903;161;24.1;6.71;12.86;16;G3;Nu
862;159;23.5;6.77;12.86;16;G3;Nu
859;152;23.7;6.75;12.94;15;G3;Nu
864;151;23.9;6.73;12.67;15;G3;Nu
909;153;22.5;6.72;13.03;17;G3;Nu
908;154;22.3;6.73;12.86;16;G3;Nu
907;155;21.1;6.73;12.94;15;G3;Nu
905;154;21.4;6.72;12.67;15;G3;Nu
862;153;21.7;6.77;13.03;16;G3;Nu
859;160;21.6;6.75;13.06;16;G3;Nu
864;161;23.7;6.73;13.02;15;G3;Nu
869;161;24.1;6.72;12.89;15;G3;Nu
862;159;24.1;6.73;12.69;16;G3;Nu
859;152;23.5;6.73;12.86;16;G3;Nu
864;151;23.7;6.72;12.89;15;G3;Nu
866;153;23.9;6.73;12.69;15;G3;Nu
877;154;24.4;6.73;12.86;16;G3;Nu
905;153;28.1;6.77;12.69;15;G3;Nu
862;153;26.3;6.75;12.86;15;G3;Nu
859;157;24.6;6.73;13.06;16;G3;Nu
864;159;24.1;6.72;13.02;16;G3;Nu
869;155;23.9;6.73;12.89;15;G3;Nu
862;154;23.7;6.73;12.69;15;G3;Nu
903;160;24.1;5.32;13.02;15;G3;Nu
